num,avg,std,rd,sd
2,0.8692806157306695,0.04696842240482834,0.0005962535255815355,85.46138
3,0.8792254233140773,0.05104122281296933,5.478208469310294e-05,19.198399
4,0.8754885786236618,0.04936777714688769,1.328945450776082e-05,4.999615
5,0.8479771428563565,0.06050566074438414,0.0009216975004160338,185.94623
6,0.8568613851938006,0.05034846269227763,0.0008393028824679167,224.51454
7,0.8621600524505216,0.052681684242443926,0.000682487319276339,175.22852
9,0.8645476363190736,0.05247045476752527,6.777621798958019e-05,17.962332
10,0.8671390640621703,0.05913983759332502,0.0002691852840849775,138.84425
11,0.8575778009909462,0.06613097854683397,0.00010557733303387762,35.435665
12,0.8741720711176181,0.050736559242440984,7.678351493372917e-06,0.69895095
13,0.8819314193729701,0.04600352852009662,6.52659876936698e-05,23.621082
14,0.8445534543725624,0.0633819511006175,0.0007298863736873526,191.84827
15,0.8696615175161686,0.055822696904866895,0.00012551151479551885,62.166702
16,0.8750932006284822,0.05214367013959911,0.00017734038737578605,93.969734
17,0.8594622635002581,0.0564589552540064,6.777621798958019e-05,14.56365
18,0.8669580074214808,0.050176746663806435,0.00013540477537351859,27.798615
19,0.8832295444816076,0.0488350345486892,4.415052108689428e-05,20.206005
20,0.868856724058075,0.052097757993966626,5.596336953823723e-05,17.385342
21,0.8224243728238229,0.07198594342167795,0.00014382142989510042,68.37733
22,0.8746321341842647,0.048848259021020544,9.848962396307186e-05,30.372196
23,0.8711081851194816,0.05426001062201034,8.992530883584822e-05,33.320076
25,0.8403415915108824,0.0666723621770661,0.00048609871377276243,89.2377
26,0.8709214411453768,0.05055165818720596,5.74399755946551e-05,18.998802
27,0.8470284116362794,0.058892882308923325,0.00015253340562796587,62.350285
28,0.8772303643986382,0.05108526226551295,2.716955143808879e-05,9.822397
29,0.8482093560355516,0.06221553429134381,0.00043559878664327134,80.023926
30,0.8627400773101942,0.051891991176640236,0.00013097495720426497,54.77275
31,0.8247925722127543,0.07992595751515297,0.00023891485992841118,106.53844
32,0.8760443412779815,0.051452236985087135,1.9638860550357655e-05,5.389124
33,0.8727489980542764,0.05067873381593724,7.515924827166953e-05,41.27192
34,0.8587928428487643,0.05510448159131001,0.0006404040466684298,89.40878
35,0.8798120551513958,0.04952224591174937,6.497066648238623e-05,32.763577
37,0.8609185497405637,0.05338506473778512,6.659493314444589e-05,19.875635
38,0.8487922366378985,0.05376879738186519,0.0004809305925752999,133.51291
39,0.8809916068962896,0.04529064975676815,3.425726050889456e-05,14.039465
40,0.8689905557399952,0.046572710199221316,0.00028099813253632043,72.34023
41,0.8665560026146559,0.055906095115445524,8.328058158196781e-05,40.24282
42,0.8768685139211122,0.051333554877088,4.828501804486431e-05,17.987999
43,0.8471191537112247,0.06132095758974839,0.0003558620595967064,64.62335
44,0.8531292714892008,0.05377529728313434,0.0010690627848465371,188.58356
45,0.8599284323654202,0.053738382425578005,0.0009320337428109589,186.66197
46,0.8512418367577855,0.06103632000922949,8.416654521581853e-05,42.395622
47,0.8622065600565973,0.05556055021561393,5.212419379155077e-05,21.675747
49,0.8431098476704264,0.059897360097554954,0.00138579478394817,237.44948
